"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-15",,,,,"0.10","0.1",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-20",,,,,"0.84","2.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-21",,,,,"0.40","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-22",,,,,"0.05","1.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-23",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-25",,,,,"0.84","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-26",,,,,"0.29","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-29",,,,,"0.53","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-30",,,,,"0.45","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-01-31",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-02",,,,,"0.20","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-04",,,,,"0.64","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-10",,,,,"0.32","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-11",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-15",,,,,"0.16","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-16",,,,,"0.20","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-21",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-22",,,,,"0.23","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-23",,,,,"0.45","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-24",,,,,"0.10","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-25",,,,,"0.51","6.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-02-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-04",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-05",,,,,"0.05","1.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-06",,,,,"0.55","5.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-10",,,,,"0.13","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-11",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-15",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-17",,,,,"0.47","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-18",,,,,"0.15","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-20",,,,,"1.68","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-21",,,,,"0.01","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-23",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-29",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-30",,,,,"1.14","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-03-31",,,,,"0.11","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-01",,,,,"0.02","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-02",,,,,"0.07","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-03",,,,,"1.30","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-04",,,,,"0.05","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-07",,,,,"0.24","2.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-10",,,,,"0.06","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-11",,,,,"0.22","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-15",,,,,"1.29","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-17",,,,,"0.14","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-21",,,,,"0.37","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-23",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-25",,,,,"0.20","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-29",,,,,"0.36","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-04-30",,,,,"1.47","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-04",,,,,"0.69","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-05",,,,,"0.51","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-06",,,,,"0.05","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-10",,,,,"1.56","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-11",,,,,"0.01","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-13",,,,,"0.46","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-14",,,,,"0.01","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-15",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-16",,,,,"0.80","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-17",,,,,"0.16","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-21",,,,,"0.12","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-23",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-26",,,,,"0.07","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-29",,,,,"1.96","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-30",,,,,"0.06","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-05-31",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-04",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-07",,,,,"0.03","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-08",,,,,"0.03","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-09",,,,,"0.09","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-10",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-11",,,,,"0.01","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-14",,,,,"0.35","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-15",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-18",,,,,"0.34","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-19",,,,,"0.20","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-21",,,,,"0.80","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-23",,,,,"0.03","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-29",,,,,"0.87","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-06-30",,,,,"0.40","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-01",,,,,"0.26","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-02",,,,,"0.03","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-04",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-10",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-11",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-12",,,,,"0.79","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-15",,,,,"0.03","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-21",,,,,"0.15","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-23",,,,,"0.06","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-27",,,,,"0.14","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-29",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-30",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-07-31",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-04",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-06",,,,,"2.26","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-07",,,,,"1.58","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-10",,,,,"2.09","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-11",,,,,"1.47","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-13",,,,,"0.56","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-15",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-19",,,,,"0.04","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-21",,,,,"0.07","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-22",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-23",,,,,"0.20","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-24",,,,,"1.65","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-28",,,,,"0.22","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-29",,,,,"0.32","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-30",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-08-31",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-04",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-09",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-10",,,,,"0.10","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-11",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-12",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-13",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-15",,,,,"0.09","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-16",,,,,"0.05","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-17",,,,,"0.31","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-18",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-19",,,,,"0.36","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-21",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-22",,,,,"0.32","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-23",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-24",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-25",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-26",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-27",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-28",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-29",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-09-30",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-01",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-02",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-03",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-04",,,,,"0.26","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-05",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-06",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-07",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-08",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-09",,,,,"1.27","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-10",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-11",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-12",,,,,"0.77","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-13",,,,,"1.33","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-14",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-15",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-16",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-17",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-18",,,,,"0.90","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-19",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-20",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-21",,,,,"0.00","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-22",,,,,"0.10","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-23",,,,,"2.47","0.0",
"USW00094745","WESTCHESTER CO AIRPORT, NY US","1990-10-24",,,,,"0.05","0.0",
